temps_s,theta1_mesure_deg,theta1_simule_deg,theta2_mesure_deg,theta2_simule_deg,erreur_theta1_deg,erreur_theta2_deg
1.66,910.4092688379261,982.6873082895354,1122.7457763896052,1187.0443259061542,72.27803945160923,64.29854951654896
1.67,910.9203397885083,991.0790380521757,1113.4651867526718,1187.3601198428269,80.15869826366746,73.89493309015491
1.68,911.6873023398273,1000.1160169366283,1103.8730308189301,1188.2055578601116,88.42871459680102,84.33252704118145
1.69,912.4817822474573,1009.7751556401754,1093.7799547146033,1189.368284727921,97.29337339271808,95.58833001331779
1.7,913.0786598847344,1020.0096861048231,1083.461964756042,1190.511061755306,106.93102622008864,107.04909699926371
1.71,914.0270312658954,1030.7361215214478,1073.4303101198902,1191.1026735631901,116.70909025555235,117.67236344329977
1.72,915.2700749530853,1041.8455587162905,1064.1123012305727,1190.4602156640087,126.57548376320503,126.34791443343589
1.73,916.3903093778862,1053.224783801002,1054.958157178827,1187.8395275307084,136.83447442311586,132.88137035188146
1.74,918.147445241002,1064.7653503918607,1046.652947677734,1182.453555123796,146.61790515085883,135.80060744606203
1.75,920.0670126875427,1076.4225754720192,1038.5826131313693,1173.5892041991406,156.35556278447638,135.00659106777135
1.76,922.4415540789583,1088.2271946294748,1031.802538977837,1160.8143607179632,165.78564055051635,129.0118217401261
1.77,925.123814742787,1100.2937595989886,1026.0491633297597,1143.9644732878492,175.1699448562016,117.91530995808937
1.78,928.1222614108054,1112.4929707640115,1020.7602942897596,1124.1678013064663,184.37070935320605,103.40750701670679
1.79,931.5680577934762,1124.4946237912768,1015.9019745086772,1103.4123687647102,192.92656599780054,87.51039425603301
1.8,935.2754946403624,1135.8442696773782,1011.5452354358882,1084.1320340072673,200.56877503701583,72.58679857137919
1.81,939.4699992884741,1146.30461552123,1007.2419760221384,1067.5672017384834,206.834616232756,60.32522571634497
1.82,944.1019723974152,1155.9046996650263,1003.2111145735802,1053.6653776240155,211.80272726761103,50.45426305043531
1.83,949.3828963072657,1164.7533556043718,998.8365426391473,1041.819773366445,215.37045929710615,42.98323072729756
1.84,954.8189044655259,1172.9193641522402,995.0092432849154,1031.3815073872304,218.10045968671432,36.37226410231496
1.85,960.8923636381604,1180.44581269844,991.0283043701362,1021.7819463833479,219.5534490602796,30.75364201321174
1.86,967.9773555709123,1187.3555452543776,986.0162151648958,1012.5660024037454,219.37818968346542,26.549787238849607
1.87,975.5309901557416,1193.6773089458593,980.4877119662575,1003.430350543152,218.14631879011773,22.942638576894602
1.88,983.4564564552264,1199.452354229623,974.9254674036445,994.2294351405143,215.9958977743966,19.303967736869847
1.89,992.1503370732748,1204.7311423439455,970.0443488562252,984.9477248621573,212.5808052706707,14.90337600593212
1.9,1001.3250087941589,1209.5702957067078,965.2620947584286,975.6550833351595,208.24528691254915,10.392988576730971
1.91,1011.2603807391602,1214.0200770131553,962.264112644113,966.4463240179186,202.7596962739951,4.182211373805614
1.92,1021.3771902412961,1218.1216837395323,962.5351690652832,957.4119213554878,196.7444934982361,5.123247709795306
1.93,1031.9963447017142,1221.9074518291154,967.2162365340438,948.6346725953525,189.9111071274013,18.58156393869126
1.94,1042.8664904976888,1225.4006044112643,975.5746699571594,940.1844661703948,182.53411391357545,35.3902037867645
1.95,1054.1076523255492,1228.615497030356,989.6988361387685,932.1022422218894,174.50784470480664,57.59659391687913
1.96,1064.9394830511292,1231.5639900673934,1008.7635579746329,924.409397177129,166.62450701626423,84.35416079750394
1.97,1075.625603102704,1234.2577006365123,1031.9107749364607,917.1065954905496,158.6320975338082,114.80417944591106
1.98,1085.5192762056242,1236.7080118616634,1057.495747232811,910.173628296216,151.18873565603926,147.32211893659507
